"Transaction Detail by Account"
"Sample CPA Firm"
"January 1 - December 31, 2025"

"Date","Transaction Type","No.","Name","Memo/Description","Split","Amount","Balance","Account"
"12/03/2025","Payment","1117","Equifax Technology Services","Payment received","Accounts Receivable (A/R)","4,770.62","","Undeposited Funds"
"12/03/2025","Payment","1117","Equifax Technology Services","Payment received","Undeposited Funds","-4,770.62","","Accounts Receivable (A/R)"
"12/08/2025","Check","5282","Amazon Web Services","Direct payment - bank charges","Bank Charges","-64.91","","Checking"
"12/08/2025","Check","5282","Amazon Web Services","Direct payment - bank charges","Checking","64.91","","Bank Charges"
"12/09/2025","Invoice","1119","Delta Air Lines IT Dept","Invoice for services - December 2025","Consulting Revenue","3,119.69","","Accounts Receivable (A/R)"
"12/09/2025","Invoice","1119","Delta Air Lines IT Dept","Invoice for services - December 2025","Accounts Receivable (A/R)","3,119.69","","Consulting Revenue"
"12/10/2025","Invoice","1120","Georgia-Pacific Corp","Invoice for services - December 2025","Consulting Revenue","2,394.49","","Accounts Receivable (A/R)"
"12/10/2025","Invoice","1120","Georgia-Pacific Corp","Invoice for services - December 2025","Accounts Receivable (A/R)","2,394.49","","Consulting Revenue"
"12/12/2025","Check","5724","Johnson Insurance Agency","Direct payment - repairs & maintenance","Repairs & Maintenance","-57.53","","Checking"
"12/12/2025","Check","5724","Johnson Insurance Agency","Direct payment - repairs & maintenance","Checking","57.53","","Repairs & Maintenance"
"12/27/2025","Payment","1122","Cox Enterprises","Payment received","Accounts Receivable (A/R)","3,906.07","","Undeposited Funds"
"12/27/2025","Payment","1122","Cox Enterprises","Payment received","Undeposited Funds","-3,906.07","","Accounts Receivable (A/R)"
"04/16/2025","Invoice","1123","Piedmont Healthcare","Void: Original invoice voided","Services Revenue","0.00","","Accounts Receivable (A/R)"
"08/04/2025","Expense","1124","","Bank service charge","Checking","34.98","","Bank Charges"
"08/04/2025","Expense","1124","","Bank service charge","Bank Charges","-34.98","","Checking"
"10/27/2025","Expense","1125","","Bank service charge","Checking","11.97","","Bank Charges"
"10/27/2025","Expense","1125","","Bank service charge","Bank Charges","-11.97","","Checking"
"10/22/2025","Expense","1126","","Bank service charge","Checking","34.61","","Bank Charges"
"10/22/2025","Expense","1126","","Bank service charge","Bank Charges","-34.61","","Checking"
"01/10/2025","Check","5800","Office Depot","Direct payment - office supplies","Office Supplies","-411.03","","Checking"
"01/10/2025","Check","5800","Office Depot","Direct payment - office supplies","Checking","411.03","","Office Supplies"
"01/14/2025","Invoice","1128","The Olde Pink House Restaurant","Invoice for services - January 2025","Bakery Sales","5,589.19","","Accounts Receivable (A/R)"
"01/14/2025","Invoice","1128","The Olde Pink House Restaurant","Invoice for services - January 2025","Accounts Receivable (A/R)","5,589.19","","Bakery Sales"
"01/14/2025","Invoice","1129","River Street Market","Invoice for services - January 2025","Bakery Sales","5,984.14","","Accounts Receivable (A/R)"
"01/14/2025","Invoice","1129","River Street Market","Invoice for services - January 2025","Accounts Receivable (A/R)","5,984.14","","Bakery Sales"
"01/15/2025","Bill Payment (Check)","5263","Office Depot","Payment to Office Depot","Accounts Payable (A/P)","-1,954.89","","Checking"
"01/15/2025","Bill Payment (Check)","5263","Office Depot","Payment to Office Depot","Checking","-1,954.89","","Accounts Payable (A/P)"
"01/26/2025","Deposit","1131","","Bank deposit","Undeposited Funds","3,749.77","","Checking"
"01/26/2025","Deposit","1131","","Bank deposit","Checking","-3,749.77","","Undeposited Funds"
"01/27/2025","Check","5766","Sysco Foods","Direct payment - office supplies","Office Supplies","-423.20","","Checking"
"01/27/2025","Check","5766","Sysco Foods","Direct payment - office supplies","Checking","423.20","","Office Supplies"
"02/11/2025","Invoice","1133","The Olde Pink House Restaurant","Invoice for services - February 2025","Bakery Sales","3,055.73","","Accounts Receivable (A/R)"
"02/11/2025","Invoice","1133","The Olde Pink House Restaurant","Invoice for services - February 2025","Accounts Receivable (A/R)","3,055.73","","Bakery Sales"
"02/12/2025","Check","5982","Office Depot","Direct payment - bank charges","Bank Charges","-228.91","","Checking"
"02/12/2025","Check","5982","Office Depot","Direct payment - bank charges","Checking","228.91","","Bank Charges"
"03/07/2025","Invoice","1135","Forsyth Park Cafe","Invoice for services - March 2025","Bakery Sales","7,304.80","","Accounts Receivable (A/R)"
"03/07/2025","Invoice","1135","Forsyth Park Cafe","Invoice for services - March 2025","Accounts Receivable (A/R)","7,304.80","","Bakery Sales"
"03/11/2025","Invoice","1136","Forsyth Park Cafe","Invoice for services - March 2025","Bakery Sales","6,828.38","","Accounts Receivable (A/R)"
"03/11/2025","Invoice","1136","Forsyth Park Cafe","Invoice for services - March 2025","Accounts Receivable (A/R)","6,828.38","","Bakery Sales"
"03/26/2025","Journal Entry","JE-1137","Savannah Sweets","Monthly depreciation","Accumulated Depreciation","595.72","","Depreciation Expense"
"03/26/2025","Journal Entry","JE-1137","Savannah Sweets","Monthly depreciation","Depreciation Expense","-595.72","","Accumulated Depreciation"
"04/04/2025","Payment","1138","River Street Market","Payment received","Accounts Receivable (A/R)","5,919.47","","Undeposited Funds"
"04/04/2025","Payment","1138","River Street Market","Payment received","Undeposited Funds","-5,919.47","","Accounts Receivable (A/R)"
"04/19/2025","Invoice","1139","Forsyth Park Cafe","Invoice for services - April 2025","Bakery Sales","3,295.01","","Accounts Receivable (A/R)"
"04/19/2025","Invoice","1139","Forsyth Park Cafe","Invoice for services - April 2025","Accounts Receivable (A/R)","3,295.01","","Bakery Sales"
"04/23/2025","Credit Card Expense","1140","Sysco Foods","Credit card purchase - advertising","Advertising","265.13","","Credit Card"
"04/23/2025","Credit Card Expense","1140","Comcast Business","Credit card purchase - advertising","Credit Card","265.13","","Advertising"
"04/23/2025","Journal Entry","JE-1141","Savannah Sweets","Monthly depreciation","Accumulated Depreciation","1,983.90","","Depreciation Expense"
"04/23/2025","Journal Entry","JE-1141","Savannah Sweets","Monthly depreciation","Depreciation Expense","-1,983.90","","Accumulated Depreciation"
"04/25/2025","Bill","1142","Comcast Business","Comcast Business - April service","Insurance","2,187.83","","Accounts Payable (A/P)"
"04/25/2025","Bill","1142","Comcast Business","Comcast Business - April service","Accounts Payable (A/P)","2,187.83","","Insurance"
"05/10/2025","Check","5942","Comcast Business","Direct payment - bank charges","Bank Charges","-263.55","","Checking"
"05/10/2025","Check","5942","Comcast Business","Direct payment - bank charges","Checking","263.55","","Bank Charges"
"05/14/2025","Bill Payment (Check)","5286","Sysco Foods","Payment to Sysco Foods","Accounts Payable (A/P)","-1,055.11","","Checking"
"05/14/2025","Bill Payment (Check)","5286","Sysco Foods","Payment to Sysco Foods","Checking","-1,055.11","","Accounts Payable (A/P)"
"05/20/2025","Journal Entry","JE-1145","Savannah Sweets","Amortize prepaid insurance","Prepaid Insurance","1,098.96","","Insurance"
"05/20/2025","Journal Entry","JE-1145","Savannah Sweets","Amortize prepaid insurance","Insurance","-1,098.96","","Prepaid Insurance"
"05/23/2025","Bill Payment (Check)","5030","Comcast Business","Payment to Comcast Business","Accounts Payable (A/P)","-1,602.43","","Checking"
"05/23/2025","Bill Payment (Check)","5030","Comcast Business","Payment to Comcast Business","Checking","-1,602.43","","Accounts Payable (A/P)"
"06/02/2025","Bill","1147","Sysco Foods","Sysco Foods - June service","Office Supplies","794.62","","Accounts Payable (A/P)"
"06/02/2025","Bill","1147","Sysco Foods","Sysco Foods - June service","Accounts Payable (A/P)","794.62","","Office Supplies"
"06/17/2025","Bill","1148","Sysco Foods","Sysco Foods - June service","Repairs & Maintenance","1,444.35","","Accounts Payable (A/P)"
"06/17/2025","Bill","1148","Sysco Foods","Sysco Foods - June service","Accounts Payable (A/P)","1,444.35","","Repairs & Maintenance"
"06/17/2025","Deposit","1149","","Bank deposit","Undeposited Funds","5,526.71","","Checking"
"06/17/2025","Deposit","1149","","Bank deposit","Checking","-5,526.71","","Undeposited Funds"
"06/22/2025","Invoice","1150","Savannah Visitor Center","Invoice for services - June 2025","Bakery Sales","1,201.30","","Accounts Receivable (A/R)"
"06/22/2025","Invoice","1150","Savannah Visitor Center","Invoice for services - June 2025","Accounts Receivable (A/R)","1,201.30","","Bakery Sales"
"06/22/2025","Deposit","1151","","Bank deposit","Undeposited Funds","9,004.71","","Checking"
"06/22/2025","Deposit","1151","","Bank deposit","Checking","-9,004.71","","Undeposited Funds"
"06/29/2025","Deposit","1152","","Bank deposit","Undeposited Funds","12,314.60","","Checking"
"06/29/2025","Deposit","1152","","Bank deposit","Checking","-12,314.60","","Undeposited Funds"
"06/30/2025","Check","5503","Georgia Power","Direct payment - bank charges","Bank Charges","-430.02","","Checking"
"06/30/2025","Check","5503","Georgia Power","Direct payment - bank charges","Checking","430.02","","Bank Charges"
"07/14/2025","Payment","1154","River Street Market","Payment received","Accounts Receivable (A/R)","6,167.31","","Undeposited Funds"
"07/14/2025","Payment","1154","River Street Market","Payment received","Undeposited Funds","-6,167.31","","Accounts Receivable (A/R)"
"07/14/2025","Payment","1155","The Grey Restaurant","Payment received","Accounts Receivable (A/R)","3,523.60","","Undeposited Funds"
"07/14/2025","Payment","1155","The Grey Restaurant","Payment received","Undeposited Funds","-3,523.60","","Accounts Receivable (A/R)"
"07/19/2025","Bill Payment (Check)","5564","Sysco Foods","Payment to Sysco Foods","Accounts Payable (A/P)","-1,792.95","","Checking"
"07/19/2025","Bill Payment (Check)","5564","Sysco Foods","Payment to Sysco Foods","Checking","-1,792.95","","Accounts Payable (A/P)"
"07/19/2025","Payment","1157","Forsyth Park Cafe","Payment received","Accounts Receivable (A/R)","4,217.34","","Undeposited Funds"
"07/19/2025","Payment","1157","Forsyth Park Cafe","Payment received","Undeposited Funds","-4,217.34","","Accounts Receivable (A/R)"
"07/21/2025","Payment","1158","Savannah Visitor Center","Payment received","Accounts Receivable (A/R)","1,488.92","","Undeposited Funds"
"07/21/2025","Payment","1158","Savannah Visitor Center","Payment received","Undeposited Funds","-1,488.92","","Accounts Receivable (A/R)"
"07/27/2025","Invoice","1159","The Olde Pink House Restaurant","Invoice for services - July 2025","Bakery Sales","6,585.68","","Accounts Receivable (A/R)"
"07/27/2025","Invoice","1159","The Olde Pink House Restaurant","Invoice for services - July 2025","Accounts Receivable (A/R)","6,585.68","","Bakery Sales"
"08/03/2025","Transfer","1160","","Transfer to savings","Savings","-2,016.24","","Checking"
"08/03/2025","Transfer","1160","","Transfer to savings","Checking","2,016.24","","Savings"
"08/04/2025","Invoice","1161","River Street Market","Invoice for services - August 2025","Bakery Sales","2,765.92","","Accounts Receivable (A/R)"
"08/04/2025","Invoice","1161","River Street Market","Invoice for services - August 2025","Accounts Receivable (A/R)","2,765.92","","Bakery Sales"
"08/08/2025","Bill Payment (Check)","5103","Atlanta Web Design","Payment to Atlanta Web Design","Accounts Payable (A/P)","-2,494.36","","Checking"
"08/08/2025","Bill Payment (Check)","5103","Atlanta Web Design","Payment to Atlanta Web Design","Checking","-2,494.36","","Accounts Payable (A/P)"
"08/12/2025","Credit Card Expense","1163","Office Depot","Credit card purchase - advertising","Advertising","166.29","","Credit Card"
"08/12/2025","Credit Card Expense","1163","Sysco Foods","Credit card purchase - advertising","Credit Card","166.29","","Advertising"
"08/21/2025","Invoice","1164","The Grey Restaurant","Invoice for services - August 2025","Bakery Sales","1,536.35","","Accounts Receivable (A/R)"
"08/21/2025","Invoice","1164","The Grey Restaurant","Invoice for services - August 2025","Accounts Receivable (A/R)","1,536.35","","Bakery Sales"
"08/25/2025","Invoice","1165","The Olde Pink House Restaurant","Invoice for services - August 2025","Bakery Sales","5,033.37","","Accounts Receivable (A/R)"
"08/25/2025","Invoice","1165","The Olde Pink House Restaurant","Invoice for services - August 2025","Accounts Receivable (A/R)","5,033.37","","Bakery Sales"
"08/28/2025","Check","5130","Atlanta Web Design","Direct payment - bank charges","Bank Charges","-77.01","","Checking"
"08/28/2025","Check","5130","Atlanta Web Design","Direct payment - bank charges","Checking","77.01","","Bank Charges"
"08/29/2025","Payment","1167","River Street Market","Payment received","Accounts Receivable (A/R)","4,108.43","","Undeposited Funds"
"08/29/2025","Payment","1167","River Street Market","Payment received","Undeposited Funds","-4,108.43","","Accounts Receivable (A/R)"
"09/06/2025","Invoice","1168","The Olde Pink House Restaurant","Invoice for services - September 2025","Bakery Sales","2,568.61","","Accounts Receivable (A/R)"
"09/06/2025","Invoice","1168","The Olde Pink House Restaurant","Invoice for services - September 2025","Accounts Receivable (A/R)","2,568.61","","Bakery Sales"
"09/07/2025","Invoice","1169","The Olde Pink House Restaurant","Invoice for services - September 2025","Bakery Sales","3,782.62","","Accounts Receivable (A/R)"
"09/07/2025","Invoice","1169","The Olde Pink House Restaurant","Invoice for services - September 2025","Accounts Receivable (A/R)","3,782.62","","Bakery Sales"
"10/01/2025","Invoice","1170","Forsyth Park Cafe","Invoice for services - October 2025","Bakery Sales","6,123.06","","Accounts Receivable (A/R)"
"10/01/2025","Invoice","1170","Forsyth Park Cafe","Invoice for services - October 2025","Accounts Receivable (A/R)","6,123.06","","Bakery Sales"
"10/03/2025","Invoice","1171","The Grey Restaurant","Invoice for services - October 2025","Bakery Sales","2,989.10","","Accounts Receivable (A/R)"
"10/03/2025","Invoice","1171","The Grey Restaurant","Invoice for services - October 2025","Accounts Receivable (A/R)","2,989.10","","Bakery Sales"
"10/04/2025","Transfer","1172","","Transfer to savings","Savings","-1,470.71","","Checking"
"10/04/2025","Transfer","1172","","Transfer to savings","Checking","1,470.71","","Savings"
"10/07/2025","Deposit","1173","","Bank deposit","Undeposited Funds","10,933.76","","Checking"
"10/07/2025","Deposit","1173","","Bank deposit","Checking","-10,933.76","","Undeposited Funds"
"10/16/2025","Credit Card Expense","1174","Johnson Insurance Agency","Credit card purchase - utilities:internet","Utilities:Internet","130.99","","Credit Card"
"10/16/2025","Credit Card Expense","1174","Johnson Insurance Agency","Credit card purchase - utilities:internet","Credit Card","130.99","","Utilities:Internet"
"10/31/2025","Journal Entry","JE-1175","Savannah Sweets","Amortize prepaid insurance","Prepaid Insurance","1,317.75","","Insurance"
"10/31/2025","Journal Entry","JE-1175","Savannah Sweets","Amortize prepaid insurance","Insurance","-1,317.75","","Prepaid Insurance"
"11/05/2025","Payment","1176","The Grey Restaurant","Payment received","Accounts Receivable (A/R)","993.78","","Undeposited Funds"
"11/05/2025","Payment","1176","The Grey Restaurant","Payment received","Undeposited Funds","-993.78","","Accounts Receivable (A/R)"
"11/15/2025","Transfer","1177","","Transfer to savings","Savings","-1,312.97","","Checking"
"11/15/2025","Transfer","1177","","Transfer to savings","Checking","1,312.97","","Savings"
"11/26/2025","Invoice","1178","Savannah Visitor Center","Invoice for services - November 2025","Bakery Sales","2,667.84","","Accounts Receivable (A/R)"
"11/26/2025","Invoice","1178","Savannah Visitor Center","Invoice for services - November 2025","Accounts Receivable (A/R)","2,667.84","","Bakery Sales"
"12/06/2025","Invoice","1179","Savannah Visitor Center","Invoice for services - December 2025","Bakery Sales","1,923.70","","Accounts Receivable (A/R)"
"12/06/2025","Invoice","1179","Savannah Visitor Center","Invoice for services - December 2025","Accounts Receivable (A/R)","1,923.70","","Bakery Sales"
"12/09/2025","Invoice","1180","The Olde Pink House Restaurant","Invoice for services - December 2025","Bakery Sales","3,846.57","","Accounts Receivable (A/R)"
"12/09/2025","Invoice","1180","The Olde Pink House Restaurant","Invoice for services - December 2025","Accounts Receivable (A/R)","3,846.57","","Bakery Sales"
"12/14/2025","Check","5482","Sysco Foods","Direct payment - advertising","Advertising","-41.29","","Checking"
"12/14/2025","Check","5482","Sysco Foods","Direct payment - advertising","Checking","41.29","","Advertising"
"12/28/2025","Invoice","1182","The Olde Pink House Restaurant","Void: Original invoice voided","Services Revenue","0.00","","Accounts Receivable (A/R)"
"05/25/2025","Expense","1183","","Bank service charge","Checking","39.09","","Bank Charges"
"05/25/2025","Expense","1183","","Bank service charge","Bank Charges","-39.09","","Checking"
"12/18/2025","Expense","1184","","Bank service charge","Checking","24.33","","Bank Charges"
"12/18/2025","Expense","1184","","Bank service charge","Bank Charges","-24.33","","Checking"
"11/17/2025","Expense","1185","","Bank service charge","Checking","47.84","","Bank Charges"
"11/17/2025","Expense","1185","","Bank service charge","Bank Charges","-47.84","","Checking"
